time_step,x,y
1271,1334,290
1272,1319,306
1273,1303,324
1274,1288,343
1275,1272,362
1276,1258,381
1277,1244,397
1278,1233,412
1279,1221,429
1280,1207,448
1281,1194,467
1282,1179,488
1283,1166,506
1284,1157,519
1285,1144,538
1286,1129,560
1287,1117,574
1288,1104,593
1289,1083,620
1290,1070,636
1291,1059,648
1292,1045,667
1293,1033,685
1294,1022,703
1295,1012,719
1296,1002,743
1297,995,765
1298,991,781
1299,984,799
1300,978,822
1301,975,841
1302,968,871
1303,963,898
1304,956,923
1305,955,918
1306,950,907
1307,948,895
1308,942,889
1309,934,885
1310,922,887
1311,906,888
1312,895,889
1313,869,883
1314,849,872
1315,832,861
1316,816,849
1317,800,835
1318,786,821
1319,774,806
1320,762,789
1321,753,775
1322,742,753
1323,732,740
1324,722,721
1325,710,704
1326,699,688
1327,693,672
1328,681,650
1329,671,632
1330,659,609
1331,647,594
1332,634,576
1333,619,558
1334,606,543
1335,585,524
1336,576,510
1337,562,494
1338,551,482
1339,538,468
1340,523,454
1341,513,443
1342,501,427
1343,491,412
1344,482,398
1345,475,382
1346,470,368
1347,465,354
1348,461,337
1349,454,318
1350,451,304
1351,445,286
1352,441,265
1353,437,247
1354,436,224
1355,433,203
1356,434,184
1357,434,169
1358,434,160
1359,431,162
1360,439,179
1361,437,167
1362,440,170
1363,443,161
1364,449,162
1365,451,161
1366,452,160
1367,445,148
1368,441,154
1369,438,151
1370,434,147
1371,422,142
1372,421,145
1373,409,140
1374,406,137
1375,397,132
1376,382,133
1377,376,139
1378,367,145
1379,353,152
1380,342,159
1381,329,172
1382,317,184
1383,303,200
1384,292,213
1385,284,227
1386,274,243
1387,266,258
1388,260,273
1389,253,290
1390,250,305
1391,251,324
1392,252,342
1393,250,364
1394,253,381
1395,258,401
1396,258,415
1397,261,434
1398,268,465
1399,281,488
1400,293,512
1401,308,542
1402,323,566
1403,330,581
1404,345,599
1405,362,623
1406,374,640
1407,387,659
1408,403,676
1409,418,693
1410,433,708
1411,451,724
1412,467,740
1413,486,756
1414,502,768
1415,521,784
1416,540,798
1417,558,811
1418,579,825
1419,601,836
1420,621,848
1421,645,859
1422,667,871
1423,689,879
1424,707,886
1425,727,896
1426,746,903
1427,768,911
1428,788,920
1429,808,925
1430,833,934
1431,856,944
1432,878,951
1433,896,951
1434,905,949
1435,927,945
1436,943,940
1437,958,933
1438,976,925
1439,995,911
1440,1014,902
1441,1035,884
1442,1053,869
1443,1066,862
1444,1080,847
1445,1098,825
1446,1116,804
1447,1133,787
1448,1150,770
1449,1165,752
1450,1178,739
1451,1193,722
1452,1210,701
1453,1223,687
1454,1239,670
1455,1256,651
1456,1269,636
1457,1283,620
1458,1297,605
1459,1314,588
1460,1330,575
1461,1347,561
1462,1357,546
1463,1372,530
